iter	Passed	Remaining
0	141	141765
1	147	73485
2	154	51286
3	161	40336
4	169	33797
5	177	29343
6	186	26461
7	195	24211
8	203	22406
9	211	20976
10	220	19805
11	228	18845
12	236	17979
13	244	17245
14	253	16619
15	262	16156
16	272	15752
17	282	15421
18	291	15048
19	300	14732
20	310	14489
21	319	14208
22	328	13960
23	338	13762
24	347	13566
25	358	13415
26	367	13251
27	376	13085
28	385	12922
29	395	12791
30	405	12664
31	413	12520
32	422	12380
33	430	12228
34	439	12104
35	447	11970
36	455	11847
37	469	11880
38	491	12102
39	505	12130
40	519	12161
41	529	12066
42	544	12127
43	554	12042
44	563	11951
45	573	11883
46	582	11804
47	591	11724
48	600	11663
49	609	11571
50	617	11485
51	624	11394
52	633	11318
53	641	11240
54	649	11162
55	658	11094
56	666	11023
57	674	10962
58	682	10888
59	690	10823
60	699	10768
61	708	10718
62	716	10653
63	724	10596
64	733	10545
65	741	10489
66	749	10433
67	757	10381
68	765	10330
69	774	10283
70	781	10230
71	790	10194
72	798	10144
73	806	10096
74	815	10058
75	825	10036
76	833	9990
77	841	9949
78	851	9925
79	860	9894
80	869	9861
81	877	9822
82	885	9786
83	893	9745
84	901	9704
85	909	9667
86	917	9633
87	926	9603
88	934	9565
89	942	9528
90	951	9502
91	961	9485
92	969	9458
93	978	9435
94	988	9413
95	996	9382
96	1004	9354
97	1013	9332
98	1023	9312
99	1032	9290
100	1041	9273
101	1051	9255
102	1061	9246
103	1072	9238
104	1085	9251
105	1096	9251
106	1108	9252
107	1123	9278
108	1135	9280
109	1148	9289
110	1159	9283
111	1170	9276
112	1183	9289
113	1195	9293
114	1206	9283
115	1216	9273
116	1228	9269
117	1237	9251
118	1248	9243
119	1258	9226
120	1268	9217
121	1278	9199
122	1289	9193
123	1299	9181
124	1309	9169
125	1319	9151
126	1328	9130
127	1337	9109
128	1345	9083
129	1353	9060
130	1361	9032
131	1371	9020
132	1379	8993
133	1387	8969
134	1395	8943
135	1404	8923
136	1412	8898
137	1421	8878
138	1430	8859
139	1440	8846
140	1448	8827
141	1459	8816
142	1468	8799
143	1477	8784
144	1487	8769
145	1496	8753
146	1505	8738
147	1515	8722
148	1524	8705
149	1534	8694
150	1543	8680
151	1555	8677
152	1563	8656
153	1573	8641
154	1581	8623
155	1590	8603
156	1598	8580
157	1607	8564
158	1616	8548
159	1625	8532
160	1633	8512
161	1641	8488
162	1650	8475
163	1659	8457
164	1667	8440
165	1677	8425
166	1685	8405
167	1692	8383
168	1700	8362
169	1708	8341
170	1716	8320
171	1725	8307
172	1733	8286
173	1741	8266
174	1749	8248
175	1757	8228
176	1766	8212
177	1774	8193
178	1782	8173
179	1790	8155
180	1798	8139
181	1806	8119
182	1814	8102
183	1822	8083
184	1831	8067
185	1839	8048
186	1847	8032
187	1856	8016
188	1863	7997
189	1872	7982
190	1881	7968
191	1889	7951
192	1897	7932
193	1904	7914
194	1912	7896
195	1920	7878
196	1929	7864
197	1937	7847
198	1945	7831
199	1954	7816
200	1962	7800
201	1970	7784
202	1978	7766
203	1986	7750
204	1994	7733
205	2001	7716
206	2009	7698
207	2019	7688
208	2027	7673
209	2036	7659
210	2045	7649
211	2054	7635
212	2063	7622
213	2071	7606
214	2079	7594
215	2088	7579
216	2096	7565
217	2104	7548
218	2112	7535
219	2120	7518
220	2128	7503
221	2136	7486
222	2144	7473
223	2154	7463
224	2162	7447
225	2170	7432
226	2178	7419
227	2187	7407
228	2195	7391
229	2203	7376
230	2212	7365
231	2220	7351
232	2229	7340
233	2238	7327
234	2246	7312
235	2255	7302
236	2263	7288
237	2272	7276
238	2282	7268
239	2292	7259
240	2301	7249
241	2311	7239
242	2319	7226
243	2329	7218
244	2339	7208
245	2349	7200
246	2359	7193
247	2369	7184
248	2378	7173
249	2387	7161
250	2395	7148
251	2403	7133
252	2412	7124
253	2421	7110
254	2430	7099
255	2439	7089
256	2447	7076
257	2455	7062
258	2463	7049
259	2472	7036
260	2480	7024
261	2488	7010
262	2496	6996
263	2504	6983
264	2512	6969
265	2520	6956
266	2529	6943
267	2537	6930
268	2546	6919
269	2555	6908
270	2563	6895
271	2571	6881
272	2580	6871
273	2591	6866
274	2601	6858
275	2611	6850
276	2621	6842
277	2631	6835
278	2641	6826
279	2651	6819
280	2660	6808
281	2669	6797
282	2679	6789
283	2689	6780
284	2699	6772
285	2708	6761
286	2717	6752
287	2727	6743
288	2735	6730
289	2744	6718
290	2753	6708
291	2761	6695
292	2769	6683
293	2777	6670
294	2786	6660
295	2796	6650
296	2804	6639
297	2815	6631
298	2823	6619
299	2832	6608
300	2841	6598
301	2849	6586
302	2858	6574
303	2866	6561
304	2875	6552
305	2883	6539
306	2891	6527
307	2900	6516
308	2909	6506
309	2918	6495
310	2926	6484
311	2935	6473
312	2944	6462
313	2952	6449
314	2960	6437
315	2969	6426
316	2979	6419
317	2988	6408
318	2997	6399
319	3006	6388
320	3014	6376
321	3023	6365
322	3032	6355
323	3040	6344
324	3049	6333
325	3057	6322
326	3066	6311
327	3075	6301
328	3084	6290
329	3093	6280
330	3101	6268
331	3111	6259
332	3119	6248
333	3128	6238
334	3136	6226
335	3144	6213
336	3152	6202
337	3161	6192
338	3170	6181
339	3177	6167
340	3185	6156
341	3194	6146
342	3202	6134
343	3210	6121
344	3218	6109
345	3225	6097
346	3233	6084
347	3240	6071
348	3248	6058
349	3255	6045
350	3262	6033
351	3270	6020
352	3278	6008
353	3286	5996
354	3294	5985
355	3302	5974
356	3310	5963
357	3318	5950
358	3326	5939
359	3335	5929
360	3344	5919
361	3353	5910
362	3362	5900
363	3371	5891
364	3380	5881
365	3390	5873
366	3400	5864
367	3408	5853
368	3416	5842
369	3425	5832
370	3433	5821
371	3441	5810
372	3449	5798
373	3456	5786
374	3465	5775
375	3472	5762
376	3479	5750
377	3488	5741
378	3498	5733
379	3506	5721
380	3515	5711
381	3523	5699
382	3530	5688
383	3538	5676
384	3546	5665
385	3555	5655
386	3564	5646
387	3574	5637
388	3583	5628
389	3591	5617
390	3600	5607
391	3609	5598
392	3617	5587
393	3626	5577
394	3633	5565
395	3641	5553
396	3648	5541
397	3655	5529
398	3663	5518
399	3671	5506
400	3677	5493
401	3685	5481
402	3692	5469
403	3699	5457
404	3707	5446
405	3715	5436
406	3723	5425
407	3730	5412
408	3739	5403
409	3747	5392
410	3756	5383
411	3766	5374
412	3774	5364
413	3782	5354
414	3791	5344
415	3799	5334
416	3810	5327
417	3819	5318
418	3828	5308
419	3836	5298
420	3845	5288
421	3854	5279
422	3863	5269
423	3872	5261
424	3880	5250
425	3889	5240
426	3897	5230
427	3905	5219
428	3913	5208
429	3921	5198
